region,Population,HighestInfectionCount,PercentPopulationInfected
Somalia,16359500,26410,0.161435252
South Sudan,11381377,17153,0.150711113
Samoa,200144,295,0.147393876
Mali,20855724,30463,0.146065416
Liberia,5180208,7397,0.142793494
Sudan,44909352,61862,0.137748592
Nigeria,211400704,255244,0.120739428
Burkina Faso,21497096,20813,0.096817728
Sierra Leone,8141343,7674,0.094259633
Democratic Republic of Congo,92377984,86585,0.093729043
Taiwan,23855008,22188,0.093011916
Saint Helena,6095,4,0.065627564
Tanzania,61498440,33797,0.054955866
Chad,16914984,7288,0.043086059
Yemen,30490640,11802,0.038706961
Niger,25130810,8799,0.035012799
Macao,658391,82,0.012454605
Marshall Islands,59618,7,0.01174142
China,1444216064,139285,0.009644333
Micronesia (country),116255,1,0.000860178
Turkmenistan,6117933,0,0
Tokelau,1368,0,0
Sint Maarten (Dutch part),43421,0,0
Jersey,101073,0,0
Niue,1614,0,0
Northern Cyprus,0,0,0
Tuvalu,11925,0,0
Nauru,10873,0,0
International,0,721,0
Pitcairn,47,0,0
Guernsey,63385,0,0
